antecedents,consequents,support,confidence,lift,leverage,conviction
活动策划,内容策划,0.0516,0.5797752808988764,6.288235150747033,0.0433942,2.1602727272727273
内容策划,活动策划,0.0516,0.5596529284164858,6.288235150747032,0.0433942,2.068822660098522
活动策划,用户增长,0.0506,0.5685393258426966,6.100207358827217,0.0423052,2.1016979166666667
用户增长,活动策划,0.0506,0.5429184549356223,6.100207358827217,0.0423052,1.9930798122065727
内容策划,用户增长,0.0522,0.5661605206073753,6.074683697504026,0.04360696,2.090174
用户增长,内容策划,0.0522,0.5600858369098712,6.074683697504026,0.04360696,2.063584390243902
3D Max,Photoshop,0.0564,0.6038543897216274,6.06279507752638,0.04709736,2.272901621621622
Photoshop,3D Max,0.0564,0.5662650602409639,6.06279507752638,0.04709736,2.0902166666666666
产品设计,原型设计,0.054,0.5684210526315789,5.933413910559279,0.044899,2.0950975609756095
原型设计,产品设计,0.054,0.5636743215031316,5.933413910559279,0.044899,2.0741387559808615
用户研究,Axure,0.0556,0.594017094017094,5.928314311547845,0.04622128,2.2163494736842106
Axure,用户研究,0.0556,0.5548902195608783,5.928314311547845,0.04622128,2.0363515695067265
C4D,Adobe XD,0.0512,0.5589519650655022,5.908583140227296,0.04253464,2.052837623762376
Adobe XD,C4D,0.0512,0.5412262156448203,5.908583140227296,0.04253464,1.9800608294930877
Photoshop,Illustrator,0.0522,0.5240963855421688,5.901986323673071,0.04335552,1.9146734177215192
