low,high
5,17
5,24
5,28
5,30
5,26
5,17
5,20
5,18
5,17
5,30
5,25
5,15
5,23
5,30
5,16
5,10
5,23
5,13
5,14
5,22
5,16
5,26
5,22
5,27
5,28
5,29
5,17
5,11
5,30
5,26
